,6,Record_ID_Source,Unique Record ID Generated by the EDI Converter to uniquely identify each transaction,VARCHAR,255,R,,recordId in XML (This field has to be the same as 834 XML mapping enrollmentSparseSubmitRequestRecord/recordId),This field is a Must have field to identify each transaction uniquely. This is needed to keep track of multiple requests per member.Should be the same identifier that is sent to CIL/HRP,Y,,
,7,Member_id,Member identifier for which the Enrollment request is received from source,VARCHAR,100,R,,"REF02, where REF01=0F after the INS segment, which is the medicaid id",Key Identifier which defines a member identity that helps to track each Transaction request for the member (end to end). This is a Must have field for PULSE,N,,
,8,Member_First_name,Member First name for whom the Enrollment request is received from source,VARCHAR,50,R,,NM104 in 2100A,Basic Information that is  needed to be displayed for Fallout records.,N,,
,9,Member_Middle_name,Member Middle name for whom the Enrollment request is received from source,VARCHAR,50,R,,NM105 in 2100A,Basic Information that is  needed to be displayed for Fallout records.,N,,
,10,Member_Last_name,Member Last name for whom the Enrollment request is received from source,VARCHAR,50,R,,NM103 in 2100A,Basic Information that is  needed to be displayed for Fallout records.,N,,
,11,Member_dob,Member's DOB  for whom the Enrollment request is received from source,VARCHAR,10,R,,DMG02 in DMG (Expected format YYYY/MM/DD),Expected in yyyy/mm/dd format. Basic Information that is  needed to be displayed for Fallout records.,N,,
,12,Subscriber_id,Subscriber ID of the member for whom the Enrollment request is received from source,VARCHAR,100,O,,Same mapping as Member_id in row 7,Needed to display in the UI for fallout records and to add  filter conditions based on this value,N,,
,13,Subscriber_First_Name,Subscriber First Name,VARCHAR,50,R,,Same mapping row 8,Needed to display in the UI for fallout records,N,,
,14,Subscriber_Middle_Name,Subscriber Middle Name,VARCHAR,50,R,,Same mapping row 9,Needed to display in the UI for fallout records,N,,
,15,Subscriber_Last_Name,Subscriber Last  Name,VARCHAR,50,R,,Same mapping row 10,Needed to display in the UI for fallout records,N,,
,16,Relation_code,Relationship of the member  with the Subscriber,VARCHAR,50,O,Child/Spouse/Self/Blank/Null,Self,Optional value if available will display in the UI,Y,,
,17,Group_id,ACCOUNT ID/Employer id From EDI File,VARCHAR,100,O,Blank or NULL,<blank>,Needed to display in the front end and to add the filter conditions based on this value,N,,
,18,Benefit_plan_name,Plan into which a member have enrolled,VARCHAR,255,O,,"<Blank, as Benefit plan is not mapped at the edifecs side>","If available, this field will be displayed in the PULSE dashboard",N,,
,19,Line Of Business,Line of Business for each request should be mentioned,VARCHAR,100,O,Medicaid/Medicare/Commercial/CHIP etc,Medicaid,"If available, this field will be displayed in the PULSE dashboard",N,,
,20,Type_of_transaction,Type of Enrollment request received from source for each member record.,VARCHAR,1,R,A/C/T/O,"INS03 from 2003 segment,
if 001 = C,
if 021 = A,
if 024 = T,
else = O","'A'  - For a new member Addition
'C' - For the change request from member
 'T' - For the Termination request from member
'O' - Other

This field is a Must have and has a critical impact to the PULSE dashboard.",N,"if transaction type not availbale , grouped under ""Other"" category",P32-3236
,21,Status,Accepted/Rejected/On-Hold/Other status (if any),VARCHAR,1,R,A or R or H or O,"A' - Accepted -For good records that is pushed to HRP/HPSCIL
'R' - Rejected - For bad records / For completely rejected file
'H' - OnHold - For records under review by the Vendor
'O' - Other","A' - Accepted -For good records that is pushed to HRP/HPSCIL
'R' - Rejected - For bad records / For completely rejected file
'H' - OnHold - For records under review by the Vendor
'O' - Other

This field help to categorise the records into different Data check points for the balancing purpose. Major field which is a Must have for the PULSE Dashboard to perform Balancing",Y,Key field for all balancing.,
,22,Rejection Error_code,"Rejection Code , if the record is not succesfully converted into XML and sent to HRP",VARCHAR,100,O,Blank or NULL,Error_code,To be populated with the first encountered error for rejected records only . This error code will be displayed in PULSE dashboard if available.,N,,
,23,Rejection Error description,"Reason for Rejection, if the record is not succesfully converted into XML and sent to HRP",VARCHAR,100,Conditional,,Error description,"If the entire file is rejected, the reason for the file rejection is needed to be displayed in the PULSE dashboard.

This field must be populated only if the entire file is rejected. For succesful files , this field can be Blank or NULL and record level rejections can be populated in Error_code and Error_message fields.",N,,
,24,File_rejection_error_message,IF an entire file is rejected then the reason for rejection,VARCHAR,100,Conditional,Blank or NULL,File_rejection_error_message,"If the entire file is rejected, the reason for the file rejection is needed to be displayed in the PULSE dashboard.

This field must be populated only if the entire file is rejected. For succesful files , this field can be Blank or NULL and record level rejections can be populated in Error_code and Error_message fields.",N,,
,25,Total Number of errors,Total number of errors tagged to this transaction by the EDI layout convertor,VARCHAR,10,O,Blank or NULL,,To be populated if this record is rejected with errors. Number of errors will be displayed in PULSE dashboard and is a must have field for rejected records.,N,,
,26,SNIP1_passed,Flag to denote if this record has passed SNIP type1 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 1 validation. Populate N if the record failed in SNIP type1. Populate NA if validation not applicable,N,,
,27,SNIP2_passed,Flag to denote if this record has passed SNIP type2 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,28,SNIP3_passed,Flag to denote if this record has passed SNIP type3 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,29,SNIP4_passed,Flag to denote if this record has passed SNIP type4 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,30,SNIP5_passed,Flag to denote if this record has passed SNIP type5 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,31,SNIP6_passed,Flag to denote if this record has passed SNIP type6 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,32,SNIP7_passed,Flag to denote if this record has passed SNIP type7 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,,
,34,Additional_col1,Additional column to accommodate any customer specific needs,VARCHAR,100,O,,XML file name generated by edifecs,XML file name generated by edifecs,N,,
,35,Additional_col2,Additional column to accommodate any customer specific needs,VARCHAR,50,O,,totalMemberCount,Total number of Members in EDI file,N,,
,36,Additional_col3,Additional column to accommodate any customer specific needs,VARCHAR,20,O,,Ray ID,Capture Ray ID and Record Identifier for all the transactions,N,,
,37,Additional_col4,Additional column to accommodate any customer specific needs,VARCHAR,20,R,,Record Identifier,Capture Ray ID and Record Identifier for all the transactions,N,,
,38,Additional_col5,Additional column to accommodate any customer specific needs,VARCHAR,20,R,,Transaction Created Date,,N,,
,39,Receipt_date_timestamp,The Date by when EDI covertor received the EDI file from source.,DateTime,23,R,,Timestamp when edifecs received the state file (as discussed with Amy/edifecs team),The expected format for this field is 'yyyy-mm-dd hh:mm:ss.SSS'.This is a Must have field to be displayed in the PULSE dashboard,Y,,
