Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
2100B,DMG04,Marital Status,Code defining the marital status of a person,,/enrollment/member/oldMemberData/maritalStatusCode,"If DMG04 equal to,
 D=Divorced,X Legally Separated, M= Married, B=Registered Domestic Partner, S=Separated,I=Single, W=Widowed, U=Unmarried, R=Unreported",,
2100B,DMG05,Race or Ethnicity,,,,,,
2100B,DMG06,Citizenship Status Code,Code indicating citizenship status,,"/enrollment/member/oldMemberData/immigrationStatusCode/codeSetName as  ImmigrationStatus
/enrollment/member/oldMemberData/immigrationStatusCode/codeEntry from DMG06",,,
2100B,DMG10,Code List Qualifier Code,Code identifying a specific industry code list,,,,,
2100B,DMG11,Industry Code,Race or Ethnicity Collection Code,,,,,
2100C — MEMBER MAILING ADDRESS Loop Repeat: 1,,,,,,,,
2100C,NM1,MEMBER MAILING ADDRESS,,,,"Check Whether We Have Data In 2100C, If Exists Give The Priority To 2100C, Else BackFill From 2100A.

Backfill the /enrollment/member/correspondenceAddress/emailAddress also from 2100A.PER*EM",,
2100C,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",31: Postal Mailing Address,,,,50
2100C,NM102,Entity Type Qualifier,Code qualifying the type of entity,1 : Person,,,,
2100C,N3,MEMBER MAIL STREET ADDRESS,,,,,,
2100C,N301,Address Information,Member Address Line,,/enrollment/member/correspondenceAddress/postalAddress/address,,,
2100C,N302,Address Information,Member Address Line,,/enrollment/member/correspondenceAddress/postalAddress/address2,,,
2100C,N4,"MEMBER MAIL CITY, STATE, ZIP CODE",,,,,,
2100C,N401,Free-form text for city name,Member City Name,,/enrollment/member/correspondenceAddress/postalAddress/cityName,,,
2100C,N402,Code (Standard State/Province) as defined by appropriate government agency,Member State Code,,/enrollment/member/correspondenceAddress/postalAddress/stateCode,,,
2100C,N403,Code defining international postal zone code excluding punctuation and blanks,Member ZIP Code,,"Byte 1-5
/enrollment/member/correspondenceAddress/postalAddress/zipCode

Byte 6-9
/enrollment/member/correspondenceAddress/postalAddress/zipExtensionCode",,,
2100C,N404,Code identifying the country,Member Country Code,,/enrollment/member/correspondenceAddress/postalAddress/countryCode/countryCode,,,
2100F — CUSTODIAL PARENT Loop Repeat: 1,,,,,,,,
2100F,NM1,Custodial Parent,"Required when the custodial parent of a minor dependent is someone other than the subscriber, meaning this segment would be attached to dependents only.  - for Minor.",,,,,
2100F,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",S3 : Custodial Parent,"/enrollment/member/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeEntry as ""1""
/enrollment/member/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeSetName as ""ResponsibilityTypeCode","/enrollment/member/otherResponsiblePersonInfo/listMode - hardcode as ""Default""",,
2100F,NM102,Entity Type Qualifier,Code qualifying the type of entity,1: Person,,,,
2100F,NM103,Name Last or Organization Name,Custodial Parent Last Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/lastName,,,
2100F,NM104,Name First,Custodial Parent  First Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/firstName,,,
2100F,NM105,Name Middle,Custodial Parent Middle Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/middleName,,,
2100F,NM106,Name Prefix,Custodial Parent Name Prefix,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/namePrefix,,,
2100F,NM107,Name Suffix,Custodial Parent Name Suffix,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/nameSuffixList/suffix,,,
2100F,NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),"34: Social Security Number
ZZ: Mutually Defined",,,,
2100F,NM109,Identification Code,Custodial Parent Identifier,,,,,
2100F,PER,Custodial Parent  Communications Numbers,Members phone number and email address,,,,,
2100F,PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,PQ : Parent or Guardian,,,,
2100F,PER03,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If PER03 =  'CP', populate /codeEntry as TE Else the PER03 value itself will be populated to /codentry",,
2100F,PER04,Communication Number,"Complete communications number including country or area code when
applicable",,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry",If PER03 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100F,PER05,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER05 = TE' or HP” or “WP” or “CP” or “AP”
If PER05 =  'CP', populate /codeEntry as TE Else the PER05 value itself will be populated to /codentry",,
2100F,PER06,Communication Number,"Complete communications number including country or area code when
applicable",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/resposiblePersonEmailAddress,If PER05 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100F,PER07,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER07 = TE' or HP” or “WP” or “CP” or “AP”
If PER07 =  'CP', populate /codeEntry as TE Else the PER07 value itself will be populated to /codentry",,
2100F,PER08,Communication Number,"Complete communications number including country or area code when
applicable",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/resposiblePersonEmailAddress,If PER07 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100F,N3,Custodial Parent Street Address,Always send both N3 and N4 segments for address changes,,,,,
2100F,N301,Address Information,Address Line 1,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/address,,,
2100F,N302,Address Information,Address Line 2,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/address2,,,
2100F,N4,"Custodial Parent City, State, and Zip Code",Always send both N3 and N4 segments for address changes,,,,,
2100F,N401,City Name,Custodial Parent City Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/cityName,,,
2100F,N402,State or Province Code,Custodial Parent State Code,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/stateCode,,,
2100F,N403,Postal Code,Custodial Parent Postal Zone or ZIP Code,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/zipCode(byte 1-5)

	/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/zipExtensionCode (byte 6-9)",,,
2100F,N404,Country Code,Code identifying the country,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/countryCode/countryCode,,,
2100F,N407,Country Subdivision Code,Code identifying the country subdivision,,,,,
2100G — RESPONSIBLE PERSON Loop Repeat: 13,,,,,,,,
2100G,NM1,Responsible Person,"Required to identify the person(s), other than the subscriber, who are
responsible for the member. (2100G)  - for adults
(examples: Guardianship, Legal Indemnity, Power
of Attorney, and/or Separation Agreements)",,,,,
2100G,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual","6Y Case Manager
9K Key Person
E1 Person or Other Entity Legally Responsible for a
Child
EI Executor of Estate
EXS Ex-spouse
GB Other Insured
GD Guardian
J6 Power of Attorney
LR Legal Representative
QD Responsible Party
S1 Parent
TZ Significant Other
X4 Spouse","/enrollment/member/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeSetName as ""ResponsibilityTypeCode
/enrollment/member/otherResponsiblePersonInfo/responsibilityTypeCodeCode/codeEntry from NM101",Refer tab 'Conversion Copy',,"Handles only values EI, EXS, GD, J6 ad QD. Implementaion teams needs to update the conversion copy as per their requirement"
2100G,NM102,Entity Type Qualifier,Code qualifying the type of entity,1:Person,,,,
2100G,NM103,Name Last or Organization Name,Responsible Person Last Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/lastName,,,
2100G,NM104,Name First,Responsible Person  First Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/firstName,,,
2100G,NM105,Name Middle,Responsible Person Middle Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/middleName,,,
2100G,NM106,Name Prefix,Responsible Party Name Prefix,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/namePrefix,,,
2100G,NM107,Name Suffix,Responsible Party Suffix Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsiblePersonName/nameSuffixList/suffix,,,
2100G,NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,"34 : Social Security Number
ZZ : Mutually Defined",,,,
2100G,NM109,Identification Code,Responsible Party Identifier,,,,,
2100G,PER,Responsible Person Communications Numbers,,,,,,
2100G,PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,RP: Responsible Person,,,,
2100G,PER03,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If PER03 =  'CP', populate /codeEntry as TE Else the PER03 value itself will be populated to /codentry",,
2100G,PER04,Communication Number,"Complete communications number including country or area code when
applicable",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/resposiblePersonEmailAddress,If PER03 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER03 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100G,PER05,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER05 = TE' or HP” or “WP” or “CP” or “AP”
If PER05 =  'CP', populate /codeEntry as TE Else the PER05 value itself will be populated to /codentry",,
2100G,PER06,Communication Number,"Complete communications number including country or area code when
applicable",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/resposiblePersonEmailAddress,If PER05 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER05 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100G,PER07,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName  as  ""IndividualPhoneType""

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry","Only If PER07 = TE' or HP” or “WP” or “CP” or “AP”
If PER07 =  'CP', populate /codeEntry as TE Else the PER07 value itself will be populated to /codentry",,
2100G,PER08,Communication Number,"Complete communications number including country or area code when
applicable",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/resposiblePersonEmailAddress,If PER07 = EM,,
,,,,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneAreaCode  - First 3 Digits

/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/addressPhoneList/telephoneNumber/phoneNumber - Last 7 Digits","If PER07 = TE' or HP” or “WP” or “CP” or “AP”
If number of digits = 10",,
2100G,N3,Responsible Person Street Address,Always send both N3 and N4 segments for address changes,,,,,
2100G,N301,Address Information,"Address Line 1
Input should be up to 35 characters",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/address,,,
2100G,N302,Address Information,"Address Line 2
Input should be up to 35 characters",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/address2,,,
2100G,N4,"Responsible Person City, State, and Zip Code",,,,,,
2100G,N401,City Name,City Name,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/cityName,,,
2100G,N402,State or Province Code,State,,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/stateCode,,,
2100G,N403,Postal Code,Postal Code,,"/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/zipCode(byte 1-5)

	/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/zipExtensionCode (byte 6-9)",,,
2100G,N404,Country Code,"If Country Code Not Equal to USA, then populate element",,/enrollment/member/otherResponsiblePersonInfo/otherResponsiblePersonInfo/responsibleAddressInfo/postalAddress/countryCode/countryCode,,,
2100G,N407,Country Subdivision Code,,,,,,
2100H — DROP OFF LOCATION Loop Repeat: 1,,,,,,,,
2100H,NM1,Drop Off Location,,,,,,
2100H,NM101,Entity ID Code,"Code identifying an organizational entity, a physical location, property or an
individual",,,,,
2100H,NM102,Entity Type Qualifier,Code qualifying the type of entity,,,,,
2100H,NM103,Name Last/Org Name,Individual last name or organizational name,,,,,
2100H,NM104,Name First,Individual first name,,,,,
2100H,NM105,Name Middle,Individual middle name or initia,,,,,
2100H,NM106,Name Prefix,Prefix to individual name,,,,,
2100H,NM107,Name Suffix,Suffix to individual name,,,,,
2100H,N3,Drop Off Location Street Address,,,,,,
2100H,N301,Address Information,Drop Off Location Address Line,,,,,
2100H,N302,Address Information,Drop Off Location Address Line (Required if a second address line exists.,,,,,
2100H,N4,"Drop Off Location, City, State, Zip Code",,,,,,
2100H,N401,City Name,Drop Off Location City Name,,,,,
2100H,N402,State or Province Code,State or Province Code,,,,,
2100H,N403,Postal Code,Drop Off Location Postal Zone or Zip Code,,,,,
2100H,N404,Country Code,Drop off location Country Code,,,,,
2200 — DISABILITY INFORMATION Loop Repeat: >1,,,,,,,,
2200,DSB,Disability,Use this segement in case of a disablity,,,,,
2200,DSB01,Disability Type Code,Code identifying the disability status of the individual,"1 Short Term Disability
2 Long Term Disability
3 Permanent or Total Disability
4 No Disability",,Only the first occurence of 2200 loop will be mapped since the maxoccurence of /disabilityInfoForEligibility tag is 1.,,
2200,DSB07,Product/Service ID Qualifier,,"DX: ICD9,
ZZ: ICD10/Mutually Defined",,,,
2200,DSB08,Medical Code Value,Diagnosis Code,,/enrollment/member/disabilityInfoForEligibility/diagnosisReference/ID,,,
2200,DTP,DISABILITY ELIGIBILITY DATES,,,,,,
2200,DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time","360 Initial Disability Period Start
361 Initial Disability Period End",,,,
2200,DTP02,Date Time Period Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,,,
2200,DTP03,Date Time Period,Disability Eligibility Date,,/enrollment/member/disabilityInfoForEligibility/disabilityReportedDate,If DTP01 = 360,,
2300 — HEALTH COVERAGE Loop Repeat: 99,,,,,,,,
2300,HD,Health Coverage,,,,,,
2300,HD01,Maintenance Type Code,Code identifying the specific type of item maintenance,"001 Change
002 Delete
021 Addition
024 Cancellation or Termination
025 Reinstatement
026 Correction
030 Audit or Compare
032 Employee Information Not Applicable",/enrollment/member/planSelection/healthCoverageMaintenanceCode,"Only If  HD01 is ""024"", Then populate /healthCoverageMaintenanceCode as
 TERMINATE",,
2300,HD03,Insurance Line Code,Code identifying a group of insurance products,refer Section 4.3 for valid values.,/enrollment/member/planSelection/insuranceLineCode,Conversional copy required as per Section 4.3,,
2300,HD04,Plan Coverage Description,A description or number that identifies the plan or coverage,,"/enrollment/member/planSelection/benefitPlanMatchData/Parameter/name

/enrollment/member/planSelection/benefitPlanMatchData/Parameter/value


•	Name – we will give hardcode as the tag ""benefitPlanName""
•	Value – ‘corresponding HD04 value’",,Yes. (refer Comments),"From Product Standpoint, the expecation is , 2300.HD04 contains  the value which can be used to derive the Benefit plan in HRP."
2300,HD05,Coverage Level Code,refer 4.3 for codes,,,,,
2300,DTP,Health Coverage Dates,,,,,,
2300,DTP01,Date Time Qualifier,"Code specifying type of date or time, or both date and time","348 Benefit Begin
349 Benefit End
543 Last Premium Paid Date
303 Maintenance Effective
356 Eligibility Begin
357 Eligibility End",,,,
2300,DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format","D8: Date Expressed in Format CCYYMMDD
RD8: Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",,,,
2300,DTP03,Coverage Period,"Expression of a date, a time, or range of dates, times or dates and times/ Coverage Period",,/enrollment/member/planSelection/startDate,"Format :YYYY-MM-DD
If 2300.DTP01 = 348 is present,
Populate planSelection/startDate from 2300.DTP03
Else
From 2000.DTP03 when 2000.DTP*356",,
,,,,,"/enrollment/member/planSelection/endDate
/enrollment/member/planSelection/enrollmentInfo/disenrollDate",y,,
2300,AMT,Health Coverage Policy,,,,,,
2300,AMT01,Amount Qualifier Code,Code to qualify amount,"B9 Co-insurance - Actual
C1 Co-payment Amount
D2 Deductible Amount
EBA Expected Expenditure Amount
FK Other Unlisted Amount
P3 Premium Amount
R Spend Down",,,,
2300,AMT02,Monetary Amount,Contract Amount,,,,,
2300,REF,Health Coverage Policy Number,,,,,,
2300,REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,"17 Client Reporting Category
1L Group or Policy Number
9V Payment Category
CE Class of Contract Code
E8 Service Contract (Coverage) Number
M7 Medical Assistance Category
PID Program Identification Number
RB Rate code number
X9 Internal Control Number
XM Issuer Number
XX1 Special Program Code
XX2 Service Area Code
ZX County Code
ZZ Mutually Defined",,,,
2300,REF02,Reference Identification,Members Group or Policy Number,,"/enrollment/member/planSelection/medicareEnrollmentPeriodCode/codeSetName
/enrollment/member/planSelection/medicareEnrollmentPeriodCode/codeentry","If REF01 = ZZ and REF02  =  AEP,
Populate /codeSetName  as 'MedicareEnrollmentPeriod' and
 /codeentry as 1.",Yes. (refer Comments),This mapping is included in Adaptor map for the Product testing purpose.
2310 — PROVIDER INFORMATION Loop Repeat: 30,,,,,,,,
2310,LX,PROVIDER INFORMATION,,,,,,
2310,LX01,Assigned Number,"This is a sequential number representing the number of loops for
this insured person. Begin with 1",,,,,
2310,NM1,PROVIDER NAME,,,,,,
2310,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual","1X Laboratory
3D Obstetrics and Gynecology Facility
80 Hospital
FA Facility
OD Doctor of Optometry
P3 Primary Care Provider
QA Pharmacy
QN Dentist
Y2 Managed Care Organization","/enrollment/member/providerSelections/providerSelection/providerRoleType

Map 2300.DTP*348 (Benefit plan begin date) to  /enrollment/member/providerSelections/providerSelection/providerDateRanges/startDate
Map 2300.DTP*349 (Benefit plan end date) to  /enrollment/member/providerSelections/providerSelection/providerDateRanges/endDate","If NM101 = P3, populate as PCP

Date format:YYYY-MM-DD",,"Provider Loop can contain Practitioner/supplier/supplier locations based on implementaions.
Mapping is done for Practioner/Supplier from Product standpoint."
2310,NM102,Entity Type Qualifier,Code qualifying the type of entity,"1 = Person, and 2 = Non-Person entity",,,,
2310,NM103,Provider Last Name,Last name of provier or organization/clinic name,,/enrollment/member/providerSelections/providerSelection/providerDateRanges/providerMatch/practitioner/lastName,If NM101 = P3 and NM102 = 1,,
2310,NM104,Provider First Name,,,/enrollment/member/providerSelections/providerSelection/providerDateRanges/providerMatch/practitioner/firstName,If NM101 = P3 and NM102 = 1,,
2310,NM105,Provider Middle Name,,,,,,
2310,NM106,Provider Name Prefix,,,,,,
2310,NM107,Provider Name Suffix,,,,,,
2310,NM108,ID Code Qualifier,"Code designating the system/method of code structure used for Identification
Code","34: SSN
FI: Federal Tax ID
SV: Service Provider Number(This is a number assigned by the payer used to identify a provider.)
 XX: Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2310,NM109,ID Code,Provider Identifier,,"//Practitioner
enrollment/member/providerSelections/providerSelection/providerDateRanges/providerMatch/practitioner/hccIdentificationNumber",If NM101 = P3 and NM102 = 1 and NM108= SV,,
,,,,,"//Supplier
enrollment/member/providerSelections/providerSelection/providerDateRanges/providerMatch/supplier/hccIdentificationNumber",If NM101 = P3 and NM102 = 2 and NM108= SV,,
2310,NM110,Entity Relationship Code,Code describing entity relationship,"25 Established Patient
26 Not Established Patient
72 Unknow",,,,
2310,N3,PROVIDER ADDRESS,,,,,,
2310,N301,Provider Address Line,Address line1,,,,,
2310,N302,Provider Address Line,Address line2,,,,,
2310,N4,"PROVIDER CITY, STATE, ZIP CODE",,,,,,
2310,N401,Provider City Name,,,,,,
2310,N402,Provider State Code,,,,,,
2310,N403,Provider ZIP Code,,,,,,
2310,N404,Provider Country Code,,,,,,
2310,PER,PROVIDER COMMUNICATIONS NUMBERS,,,,,,
2310,PER01,Contact Function Code,IC = Information Contact,,,,,
2310,PER03,Communication Number Qualifier,"HP = Home Phone
WP=Work Phone
EM=Email
TE= Telephone",,,,,
2310,PER04,Communication Number,,,,,,
2310,PER05,Communication Number Qualifier,"WP=Work Phone
EM=Email",,,,,
2310,PER06,Communication Number,,,,,,
2310,PER07,Communication Number Qualifier,EM=Email,,,,,
2310,PER08,Communication Number,,,,,,
2310,PLA,Provider Change Reason,,,,,,
2310,PLA01,Action Code,2: Change (Update),,,,,
2310,PLA02,Entity Identifier Code,1P : Provider,,,,,
2310,PLA03,Date,Provider Effective Date,,,,,
2310,PLA05,Maintenance Reason Code,"14 Voluntary Withdrawal
22 Plan Change
46 Current Customer Information File in Error
AA Dissatisfaction with Office Staff
AB Dissatisfaction with Medical Care/Services Rendered
AC Inconvenient Office Location
AD Dissatisfaction with Office Hours
AE Unable to Schedule Appointments in a Timely
Manner
AF Dissatisfaction with Physician’s Referral Policy
AG Less Respect and Attention Time Given than to
Other Patients
AH Patient Moved to a New Location
AI No Reason Given
AJ Appointment Times not Met in a Timely Manner",,,,,
2320 — COORDINATION OF BENEFITS Loop Repeat: 5,,,,,,,,
2320,COB,COB-Coordination of Benefits,"If a client has >5 TPL spans, only the 5 most current spans will be used.",,,,,
2320,COB01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim","P Primary
S Secondary
T Tertiary
U Unknown",/enrollment/member/cobPolicy/dateRanges/responsibilitySequenceCode,"Conversion Values From EDI 834X12 To HRP XML :
P=Primary, S=Secondary, U=Unknown",,
2320,COB02,Reference Identification,Member Group or Policy Number,,/enrollment/member/cobPolicy/groupNumber,,,
2320,COB03,Coordination of Benefits Code,Code identifying whether there is a coordination of benefits,"1: Coordination of Benefits;
5 Unknown
6: No Coordination of Benefits",,,,
2320,COB04,Service Type Code,Code identifying the classification of service,"1 Medical Care
35 Dental Care
48 Hospital - Inpatient
50 Hospital - Outpatient
54 Long Term Care
89 Free Standing Prescription Drug
90 Mail Order Prescription Drug
A4 Psychiatric
AG Skilled Nursing Care
AL Vision (Optometry)
BB Partial Hospitalization (Psychiatric)",/enrollment/member/cobPolicy/benefitPlanTypeCode/codeSetName  as BenefitPlanType /enrollment/member/cobPolicy/benefitPlanTypeCode/codeEntry,Refer Conversion Copy Tab,,
,,,,,,,,
2320,REF,Additional Coordination of Benefits Identifiers,,,,,,
