Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
1100C,ACT03,Identification Code Qualifier,Identification Code Qualifier,,,,,
1100C,ACT04,Identification Code,Identification Code,,,,,
1100C,ACT05,Account Number Qualifier,Account Number Qualifier,,,,,
1100C,ACT06,Account Number,Account Number,,,,,
1100C,ACT07,Description,Description,,,,,
1100C,ACT08,Payment Method Type Code,Payment Method Type Code,,,,,
1100C,ACT09,Benefit Status Code,Benefit Status Code,,,,,
2000 — MEMBER LEVEL DETAIL Loop Repeat: >1,,,,,,,,
Loop  2000 - Member Level Detail,,,,,,,,
2000,INS01,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response / Subscriber Indicator,"Y :Yes
N :No",Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/memberIsSubscriber,"When INS01 is to Y, map ""true"", else ""false""",,
2000,INS02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,18 :Self,Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/relationshipToSubscriberDefinitionReference/reference/ID,"When INS02 = 18, populate as Self .",,
2000,INS03,Maintenance Type Code,Code identifying the specific type of item maintenance,"001: Change
021 :Addition
024 : Cancellation or Termination
025 : Reinstatement
030 : Audit or Compare","/enrollment/subscription/maintenanceReasonCode/codeSetName

/enrollment/member/maintenanceReasonCode/codeSetName","If INS03=021, SubscriptionCreateReason;
If INS03=001, SubscriptionAmendReason;
If INS03=024, SubscriptionTeminateReason;
If INS03=025, SubscriptionReinstateReason,
If INS03=030, SubscriptionAmendReason
Assign The Conversion Value To:

/enrollment/subscription/maintenanceReasonCode/codeSetName
/enrollment/member/maintenanceReasonCode/codeSetName",,
,,,,,/enrollment/member/maintenanceTypeCode,"If INS03=021, CREATE;
If INS03=001, CHANGE;
If INS03=024, TERMINATE;
If INS03=025, REINSTATEMENT;
If INS03=030, AUDIT;
Assign The Conversion Value To:
/enrollment/member/maintenanceTypeCode",,
,,,,,Target//Schema/enrollmentSparseSubmitRequestRecordList/enrollmentSparseSubmitRequestRecord/actionCode,"Logic for Action Code

If its CREATE , then action code is 2
If its CHANGE , then action code is 4",,
2000,INS04,Maintenance Reason Code,Code identifying the reason for the maintenance change,Refer the tab Enumerations.,"/enrollment/subscription/maintenanceReasonCode/codeEntry
/enrollment/member/maintenanceReasonCode/codeEntry",,,
,,,,,"Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/planSelection/memberTerminateReasonCode/codeSetName  - Populate as MemberTerminateReason
Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/planSelection/memberTerminateReasonCode/codeentry","If  INS03 = 024
Refer Tab Conversion Copy for mapping logic.",,
2000,INS05,Benefit Status Code,The type of coverage under which benefits are paid,A : Active,Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/benefitStatusCode,A - Active,,
2000,INS06,MEDICARE STATUS CODE,To provide Medicare coverage and associated reason for Medicare eligibility,,,,,
2000,INS06-1,Medicare Status Code,Code identifying the Medicare Plan,"A : Medicare Part A
B : Medicare Part B
C : Medicare Part A and B
D : Medicare
E : No Medicare",,,,
2000,INS06-2,Eligibility Reason Code,Medicare Eligibility Reason Code,"0 : Age
1 : Disability
2 : End Stage Renal Disease (ESRD",/enrollment/member/medicareHICN/esrdIndicator,"Populate only when we have 2000.REF01* F6

if INS06-02 = ""2"" set /esrdIndicator   as True",,
,,,,,"/member/medicareHICN/medicareEligibilityReasonCode/codeSetName = ""MedicareEligibilityReason""

/member/medicareHICN/medicareEligibilityReasonCode/codeEntry","Populate only when we have 2000.REF01* F6

If INS06-2 = 0, map /codeEntry as 1
If INS06-2 = 1, map /codeEntry as 3
If INS06-2 = 2, map /codeEntry as 2",,
2000,INS07,COBRA Qualifying Event,A Qualifying Event is any of the following which results in loss of coverage for a Qualified Beneficiary,"1 Termination of Employment
2 Reduction of work hours
3 Medicare
4 Death
5 Divorce
6 Separation
7 Ineligible Child
8 Bankruptcy of Retiree’s Former Employer (26 U.S.C.
4980B(f)(3)(F))
9 Layoff
10 Leave of Absence
ZZ Mutually Defined","/enrollment/subscription/cobraSelectionList/CobraSelection/CobraQualifyingEventCode/codeSetName as CobraQualifyingEvent
/enrollment/subscriptioncobraSelectionList/CobraSelection/CobraQualifyingEventCode/codeentry from INS07",,,
2000,INS08,Employment Status Code,Code showing the general employment status of an employee/claimant,"AO - Active Military
AU - Active Military
RT - Retired
L1 - Leave of Absence
FT - Full-Time
PT - Part-Time
AC - Active for enrolled Members
TE - Terminate",Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/employmentInfo/employmentStatusCodeCode/codeSetName  as 'EmploymentStatusCode' /enrollment/member/employmentInfo/employmentStatusCodeCode/Alternatives/codeEntry from INS08,,,
2000,INS09,Student Status Code,"Code indicating the student status of the patient if 19 years of age or older, not handicapped and not the insured","F - Full-Time
N - Not a Student
P - Part-Time",,,,"INS09 is applicable only for dependents. Since Medicare mapping handles only subscriber information, mapping is not needed for this."
2000,INS10,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response /Handicap Indicator,"N: No
Y: Yes",,,,
2000,INS11,Date Time Period,"Code indicating the date format, time format, or date and time format",D8 : Date Expressed in Format CCYYMMDD,,,,
2000,INS12,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Member Individual Death Date",,/enrollment/member/individual/dateOfDeath,Format : YYYY-MM-DD,,
2000,INS13,Confidentiality Code,Code indicating the access to insured information,"R :Restricted Access
U: Unrestricted Access",,,,
2000,INS17,Number,A generic number / Birth Sequence Number,,,,,
2000,REF,Subscriber Identifier,,,,,,
2000,REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,0F: Subscriber Number,/enrollment/member/qualifierList/qualifierName,,,
2000,REF02,Reference Identification,Subscriber Identifier,,/enrollment/member/qualifierList/qualifierValue,,,
,,,,,enrollment/subscription/hccIdentifier,,,
,,,,,enrollment/member/hccIdentifier,,,
,,,,,/Schema/enrollmentSparseIBRequestRoot/enrollmentSparseIBRequest/enrollmentSparseSubmitRequestRecordList/enrollmentSparseSubmitRequestRecord/enrollment/member/memberMatchData/id,,,
2000,REF,Member Policy Number,,,,,,
2000,REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,1L : Group or Policy Number,/enrollment/member/qualifierList/qualifierName,,,
2000,REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier/ Member Group or Policy Number,,/enrollment/member/qualifierList/qualifierValue,,,
2000,REF,Member Supplemental Identifier,,,,,,
