Revision History,,,,
,,,,
V#,Date,Author,Reviewer(s)/ Contributor(s),Comments
1.0,07/01/2023,Vijaya Raj Geethan P,Shijila Raveendran,Updated maaping spec
1.1,11/20/2023,Jishnu,Shijila Raveendran,"Changed the field position for 2100.NM103 2.018 to 2.019
Updated mapping in NM1*IL
Updated mapping in DTM*036
Updated mapping in DTM*232
Added bundling information"
1.2,02/05/2024,Jishnu,Shijila Raveendran,"Updated the mapping 2100.NM1*QC(Patient Name—PSD 1592)
Updated the mapping 2100.NM109(Patient Id—PSD 1628)
Updated the mapping 2110.SVC0-6(Patient Id—PSD 1592)"
1.3,30/4/2024,Ambily,Shijila Raveendran,Updated mapping for 2100.NM1*74 (PSD-2247)
1.4,9/10/24,Deepthi,Shijila Raveendran,Updated mapping for NM1*82*1  (User Story-8473)
