Revision History,,,,
,,,,
V#,Date,Author,Reviewer(s)/ Contributor(s),Comments
0.1,07/17/2023,Jishnu RK,Shijila Muralidharan,Created the initial draft
0.2,07/26/2023,Jishnu RK,Shijila Muralidharan,Made changes in segments as per 2nd review
0.3,4/18/2024,Ambily Raj,,Updated
0.4,24/12/2024,Swedha Kumar,Ambily Raj,Updated
1.0,27/12/2024,Swedha Kumar,Ambily Raj,Baselined
1.1,25/02/2025,Swedha Kumar,Ambily Raj,Added logic for medicareHICN tags - INTP- 14775
1.2,2/3/25,Swedha Kumar,,Added logic for LUI04 Mapping - INTP-17614
