Revision History,,,,
,,,,
,,,,
,,,,
V#,Date,Author,Reviewer(s)/ Contributor(s),Comments
0.1,16-06-2023,Ambily Raj,Shijila M,Initial Version
0.2,18-6-2023,Ambily Raj,Shijila M,Changes as per review comments.
1,20-6-2023,Ambily Raj,Shijila M,Baselined.
2,31-5-2024,Ambily Raj,Shijila M,Updated the mapping Logic for 2300.DT*349 - (PSD-2452)
